Counties,Student_Origin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Countries,Study_Mode,Institute
Westmeath,All counties (2),2994.0,3099.0,3232.0,3325.0,3427.0,3225.0,3343.0,2962.0,2756.0,2868.0,3288.0,3468.0,3394.0,3473.0,3559.0,3627.0,3436.0,3241.0,0,0,0
Westmeath,Carlow,8.0,14.0,8.0,4.0,5.0,5.0,6.0,11.0,5.0,8.0,8.0,13.0,13.0,15.0,19.0,15.0,11.0,14.0,0,0,0
Westmeath,Dublin,123.0,121.0,87.0,70.0,62.0,61.0,62.0,56.0,39.0,51.0,49.0,52.0,63.0,80.0,101.0,106.0,95.0,111.0,0,0,0
Westmeath,Kildare,82.0,72.0,87.0,71.0,66.0,51.0,54.0,41.0,43.0,39.0,41.0,46.0,52.0,62.0,73.0,72.0,77.0,78.0,0,0,0
Westmeath,Kilkenny,14.0,13.0,11.0,15.0,5.0,6.0,7.0,12.0,10.0,12.0,7.0,4.0,12.0,19.0,20.0,18.0,19.0,17.0,0,0,0
Westmeath,Laois,86.0,86.0,85.0,84.0,99.0,88.0,101.0,98.0,88.0,105.0,103.0,90.0,118.0,123.0,123.0,107.0,90.0,92.0,0,0,0
Westmeath,Longford,183.0,221.0,226.0,211.0,236.0,203.0,238.0,214.0,216.0,220.0,254.0,273.0,280.0,259.0,268.0,282.0,235.0,215.0,0,0,0
Westmeath,Louth,21.0,26.0,28.0,40.0,32.0,21.0,23.0,12.0,12.0,11.0,19.0,15.0,20.0,25.0,29.0,26.0,27.0,24.0,0,0,0
Westmeath,Meath,158.0,157.0,163.0,166.0,162.0,138.0,122.0,104.0,79.0,84.0,95.0,95.0,106.0,122.0,110.0,119.0,120.0,122.0,0,0,0
Westmeath,Offaly,358.0,372.0,425.0,441.0,426.0,393.0,441.0,406.0,360.0,359.0,415.0,493.0,531.0,543.0,574.0,592.0,574.0,491.0,0,0,0
Westmeath,Westmeath,503.0,547.0,605.0,650.0,753.0,832.0,888.0,736.0,850.0,956.0,1062.0,1181.0,933.0,817.0,841.0,916.0,865.0,831.0,0,0,0
Westmeath,Wexford,12.0,8.0,14.0,10.0,11.0,8.0,8.0,7.0,9.0,4.0,5.0,7.0,7.0,13.0,16.0,21.0,23.0,27.0,0,0,0
Westmeath,Wicklow,26.0,19.0,15.0,13.0,9.0,13.0,13.0,9.0,7.0,10.0,14.0,17.0,20.0,20.0,23.0,26.0,31.0,37.0,0,0,0
Westmeath,Clare,54.0,34.0,42.0,40.0,48.0,47.0,44.0,40.0,29.0,20.0,26.0,34.0,44.0,67.0,69.0,60.0,56.0,54.0,0,0,0
Westmeath,Cork,31.0,18.0,30.0,31.0,29.0,17.0,20.0,23.0,23.0,20.0,16.0,14.0,14.0,19.0,25.0,25.0,39.0,39.0,0,0,0
Westmeath,Kerry,21.0,15.0,14.0,13.0,18.0,13.0,14.0,13.0,11.0,11.0,13.0,8.0,11.0,17.0,25.0,23.0,17.0,20.0,0,0,0
Westmeath,Limerick,18.0,17.0,23.0,19.0,14.0,15.0,16.0,16.0,12.0,11.0,19.0,14.0,17.0,19.0,23.0,24.0,22.0,22.0,0,0,0
Westmeath,Tipperary,83.0,71.0,68.0,74.0,84.0,59.0,71.0,54.0,37.0,43.0,51.0,42.0,48.0,62.0,64.0,57.0,64.0,57.0,0,0,0
Westmeath,Waterford,8.0,8.0,6.0,9.0,5.0,3.0,5.0,7.0,9.0,11.0,5.0,7.0,5.0,5.0,10.0,8.0,7.0,6.0,0,0,0
Westmeath,Galway,477.0,502.0,501.0,528.0,540.0,489.0,476.0,445.0,410.0,379.0,442.0,441.0,424.0,476.0,460.0,457.0,434.0,392.0,0,0,0
Westmeath,Leitrim,49.0,61.0,52.0,61.0,53.0,56.0,57.0,50.0,38.0,27.0,31.0,30.0,39.0,41.0,38.0,38.0,39.0,33.0,0,0,0
Westmeath,Mayo,178.0,168.0,168.0,152.0,156.0,132.0,129.0,119.0,91.0,88.0,97.0,104.0,105.0,117.0,113.0,108.0,107.0,109.0,0,0,0
Westmeath,Roscommon,265.0,299.0,313.0,326.0,326.0,314.0,315.0,303.0,233.0,281.0,332.0,329.0,334.0,342.0,331.0,335.0,314.0,278.0,0,0,0
Westmeath,Sligo,31.0,31.0,34.0,37.0,46.0,34.0,32.0,22.0,17.0,10.0,29.0,25.0,37.0,39.0,30.0,31.0,27.0,31.0,0,0,0
Westmeath,Cavan,133.0,135.0,136.0,166.0,167.0,143.0,122.0,113.0,83.0,67.0,106.0,94.0,109.0,115.0,106.0,107.0,96.0,100.0,0,0,0
Westmeath,Donegal,25.0,29.0,35.0,33.0,26.0,27.0,31.0,20.0,19.0,18.0,23.0,19.0,22.0,22.0,19.0,23.0,20.0,19.0,0,0,0
Westmeath,Monaghan,47.0,51.0,51.0,58.0,47.0,56.0,47.0,31.0,26.0,23.0,26.0,21.0,30.0,34.0,45.0,29.0,25.0,22.0,0,0,0
Westmeath,Antrim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Westmeath,Armagh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0
Westmeath,Derry,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Westmeath,Down,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Westmeath,Fermanagh,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0
Westmeath,Tyrone,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0
Westmeath,Origin unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0,0,0
Cork,All counties (2),15674.0,16308.0,16926.0,17370.0,17750.0,18145.0,18242.0,18383.0,19211.0,19858.0,21306.0,21408.0,21528.0,21460.0,21443.0,21603.0,22214.0,22569.0,0,0,0
Cork,Carlow,40.0,34.0,32.0,41.0,49.0,44.0,40.0,39.0,39.0,39.0,42.0,51.0,62.0,64.0,59.0,65.0,70.0,61.0,0,0,0
Cork,Dublin,287.0,235.0,230.0,234.0,217.0,247.0,188.0,192.0,209.0,196.0,222.0,209.0,232.0,260.0,264.0,265.0,276.0,257.0,0,0,0
Cork,Kildare,63.0,60.0,51.0,53.0,52.0,69.0,67.0,84.0,76.0,77.0,79.0,94.0,102.0,103.0,101.0,105.0,113.0,132.0,0,0,0
Cork,Kilkenny,226.0,233.0,265.0,277.0,288.0,329.0,341.0,377.0,412.0,423.0,469.0,459.0,458.0,458.0,439.0,433.0,460.0,452.0,0,0,0
Cork,Laois,53.0,64.0,58.0,56.0,54.0,58.0,58.0,63.0,77.0,76.0,76.0,76.0,96.0,91.0,93.0,102.0,119.0,120.0,0,0,0
Cork,Longford,22.0,15.0,14.0,14.0,12.0,13.0,10.0,9.0,8.0,7.0,8.0,10.0,13.0,16.0,10.0,14.0,17.0,21.0,0,0,0
Cork,Louth,33.0,33.0,30.0,25.0,20.0,30.0,28.0,18.0,22.0,19.0,14.0,17.0,16.0,32.0,39.0,34.0,46.0,40.0,0,0,0
Cork,Meath,57.0,46.0,46.0,40.0,35.0,38.0,41.0,45.0,58.0,53.0,57.0,66.0,55.0,58.0,57.0,63.0,67.0,72.0,0,0,0
Cork,Offaly,48.0,47.0,33.0,35.0,40.0,44.0,49.0,58.0,44.0,41.0,29.0,29.0,40.0,35.0,43.0,37.0,41.0,53.0,0,0,0
Cork,Westmeath,31.0,31.0,30.0,32.0,21.0,22.0,22.0,20.0,25.0,19.0,22.0,27.0,22.0,22.0,20.0,22.0,27.0,28.0,0,0,0
Cork,Wexford,186.0,167.0,156.0,161.0,180.0,198.0,197.0,220.0,246.0,264.0,274.0,268.0,274.0,258.0,239.0,259.0,275.0,268.0,0,0,0
Cork,Wicklow,46.0,43.0,43.0,40.0,39.0,44.0,50.0,65.0,64.0,63.0,55.0,62.0,62.0,67.0,79.0,73.0,78.0,67.0,0,0,0
Cork,Clare,304.0,339.0,376.0,360.0,361.0,349.0,317.0,334.0,394.0,355.0,415.0,405.0,393.0,411.0,370.0,416.0,434.0,407.0,0,0,0
Cork,Cork,10282.0,10795.0,11234.0,11518.0,11833.0,12014.0,12036.0,12033.0,12393.0,12895.0,13881.0,14016.0,14204.0,14279.0,14338.0,14432.0,14729.0,15018.0,0,0,0
Cork,Kerry,1320.0,1442.0,1576.0,1648.0,1623.0,1686.0,1751.0,1731.0,1879.0,1983.0,2092.0,2046.0,1987.0,1881.0,1852.0,1889.0,1906.0,2068.0,0,0,0
Cork,Limerick,793.0,801.0,789.0,770.0,775.0,758.0,795.0,830.0,888.0,905.0,945.0,950.0,932.0,897.0,835.0,822.0,830.0,813.0,0,0,0
Cork,Tipperary,831.0,878.0,902.0,957.0,995.0,1039.0,1092.0,1055.0,1066.0,1113.0,1211.0,1204.0,1190.0,1161.0,1139.0,1111.0,1190.0,1209.0,0,0,0
Cork,Waterford,626.0,659.0,692.0,737.0,785.0,812.0,825.0,852.0,923.0,953.0,982.0,997.0,935.0,900.0,965.0,978.0,1033.0,996.0,0,0,0
Cork,Galway,190.0,176.0,169.0,169.0,160.0,163.0,158.0,182.0,195.0,183.0,209.0,207.0,203.0,206.0,222.0,212.0,241.0,227.0,0,0,0
Cork,Leitrim,13.0,11.0,7.0,8.0,10.0,10.0,9.0,6.0,6.0,6.0,4.0,4.0,6.0,14.0,16.0,15.0,12.0,10.0,0,0,0
Cork,Mayo,83.0,67.0,62.0,65.0,64.0,60.0,67.0,66.0,69.0,69.0,71.0,66.0,75.0,82.0,85.0,76.0,80.0,76.0,0,0,0
Cork,Roscommon,31.0,27.0,34.0,35.0,32.0,24.0,19.0,25.0,30.0,27.0,33.0,32.0,30.0,30.0,34.0,42.0,32.0,33.0,0,0,0
Cork,Sligo,22.0,28.0,19.0,23.0,29.0,26.0,22.0,23.0,26.0,26.0,33.0,32.0,38.0,28.0,34.0,37.0,30.0,29.0,0,0,0
Cork,Cavan,16.0,22.0,14.0,9.0,14.0,15.0,18.0,15.0,12.0,13.0,18.0,20.0,26.0,20.0,26.0,19.0,18.0,25.0,0,0,0
Cork,Donegal,34.0,24.0,33.0,31.0,29.0,26.0,21.0,20.0,30.0,34.0,35.0,38.0,54.0,55.0,53.0,50.0,49.0,49.0,0,0,0
Cork,Monaghan,12.0,7.0,8.0,11.0,12.0,13.0,11.0,10.0,10.0,9.0,14.0,11.0,13.0,13.0,12.0,19.0,22.0,22.0,0,0,0
Cork,Antrim,11.0,10.0,10.0,13.0,12.0,8.0,5.0,5.0,5.0,6.0,8.0,6.0,7.0,6.0,7.0,6.0,10.0,8.0,0,0,0
Cork,Armagh,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0,0,0
Cork,Derry,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,0,0,0
Cork,Down,4.0,8.0,8.0,5.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,4.0,2.0,3.0,2.0,0,0,0
Cork,Fermanagh,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,4.0,3.0,4.0,4.0,0,0,0
Cork,Tyrone,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0,0,0
Cork,Origin unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0
Kerry,All counties (2),2139.0,2261.0,2331.0,2332.0,2412.0,2386.0,2228.0,2214.0,1869.0,1975.0,2243.0,2378.0,2400.0,2392.0,2375.0,2550.0,2392.0,2301.0,0,0,0
Kerry,Carlow,16.0,12.0,11.0,5.0,8.0,8.0,7.0,5.0,3.0,7.0,7.0,6.0,7.0,11.0,7.0,10.0,11.0,9.0,0,0,0
Kerry,Dublin,17.0,13.0,13.0,14.0,14.0,19.0,10.0,14.0,13.0,17.0,23.0,22.0,20.0,22.0,28.0,37.0,28.0,31.0,0,0,0
Kerry,Kildare,15.0,13.0,7.0,11.0,7.0,9.0,12.0,10.0,10.0,19.0,23.0,21.0,26.0,22.0,17.0,23.0,19.0,21.0,0,0,0
Kerry,Kilkenny,7.0,7.0,6.0,6.0,2.0,4.0,5.0,5.0,7.0,10.0,9.0,9.0,7.0,8.0,9.0,9.0,12.0,10.0,0,0,0
Kerry,Laois,18.0,9.0,7.0,11.0,12.0,12.0,8.0,6.0,10.0,12.0,13.0,15.0,11.0,10.0,19.0,20.0,22.0,24.0,0,0,0
Kerry,Longford,3.0,4.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,6.0,3.0,2.0,4.0,0,0,0
Kerry,Louth,4.0,3.0,3.0,4.0,0.0,0.0,2.0,3.0,4.0,6.0,6.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,0,0,0
Kerry,Meath,21.0,21.0,20.0,20.0,10.0,10.0,10.0,6.0,6.0,2.0,5.0,13.0,18.0,18.0,19.0,27.0,25.0,23.0,0,0,0
Kerry,Offaly,18.0,18.0,11.0,12.0,10.0,9.0,11.0,13.0,14.0,16.0,11.0,17.0,15.0,16.0,13.0,19.0,17.0,15.0,0,0,0
Kerry,Westmeath,4.0,5.0,6.0,7.0,6.0,6.0,2.0,3.0,6.0,4.0,8.0,6.0,9.0,9.0,5.0,11.0,8.0,7.0,0,0,0
Kerry,Wexford,14.0,14.0,14.0,11.0,10.0,6.0,6.0,6.0,5.0,7.0,7.0,19.0,16.0,26.0,22.0,23.0,21.0,20.0,0,0,0
Kerry,Wicklow,3.0,4.0,5.0,4.0,5.0,10.0,8.0,8.0,8.0,13.0,11.0,16.0,20.0,22.0,25.0,34.0,23.0,23.0,0,0,0
Kerry,Clare,116.0,110.0,110.0,92.0,115.0,114.0,100.0,97.0,66.0,56.0,67.0,77.0,99.0,93.0,102.0,106.0,102.0,123.0,0,0,0
Kerry,Cork,379.0,409.0,389.0,368.0,387.0,345.0,316.0,273.0,226.0,234.0,236.0,270.0,272.0,239.0,256.0,300.0,295.0,300.0,0,0,0
Kerry,Kerry,1102.0,1190.0,1244.0,1298.0,1369.0,1428.0,1377.0,1412.0,1258.0,1359.0,1544.0,1564.0,1554.0,1562.0,1516.0,1542.0,1423.0,1294.0,0,0,0
Kerry,Limerick,222.0,236.0,290.0,300.0,299.0,255.0,217.0,220.0,139.0,118.0,164.0,194.0,195.0,187.0,179.0,191.0,190.0,197.0,0,0,0
Kerry,Tipperary,74.0,81.0,70.0,59.0,59.0,56.0,44.0,44.0,26.0,19.0,25.0,27.0,35.0,32.0,41.0,51.0,54.0,56.0,0,0,0
Kerry,Waterford,21.0,16.0,25.0,20.0,18.0,20.0,18.0,14.0,9.0,6.0,8.0,5.0,6.0,6.0,8.0,14.0,15.0,22.0,0,0,0
Kerry,Galway,50.0,57.0,59.0,48.0,43.0,37.0,40.0,37.0,25.0,27.0,28.0,29.0,27.0,33.0,37.0,45.0,39.0,33.0,0,0,0
Kerry,Leitrim,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,4.0,4.0,3.0,5.0,4.0,6.0,5.0,0,0,0
Kerry,Mayo,16.0,15.0,13.0,11.0,12.0,14.0,16.0,15.0,12.0,12.0,17.0,22.0,16.0,20.0,16.0,28.0,29.0,27.0,0,0,0
Kerry,Roscommon,7.0,9.0,13.0,11.0,6.0,7.0,4.0,4.0,4.0,4.0,5.0,8.0,8.0,15.0,11.0,12.0,12.0,15.0,0,0,0
Kerry,Sligo,2.0,2.0,0.0,2.0,1.0,2.0,1.0,4.0,5.0,4.0,4.0,4.0,7.0,7.0,5.0,10.0,7.0,6.0,0,0,0
Kerry,Cavan,2.0,3.0,4.0,3.0,4.0,2.0,1.0,0.0,1.0,7.0,5.0,5.0,7.0,5.0,6.0,5.0,5.0,7.0,0,0,0
Kerry,Donegal,3.0,5.0,4.0,6.0,4.0,3.0,3.0,5.0,7.0,9.0,9.0,12.0,7.0,7.0,9.0,11.0,10.0,10.0,0,0,0
Kerry,Monaghan,3.0,4.0,4.0,8.0,7.0,6.0,6.0,5.0,2.0,3.0,2.0,4.0,5.0,5.0,5.0,7.0,9.0,9.0,0,0,0
Kerry,Antrim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Kerry,Armagh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
Kerry,Derry,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Kerry,Down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0
Kerry,Fermanagh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Kerry,Tyrone,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Kerry,Origin unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
Limerick,All counties (2),12478.0,13101.0,13245.0,13471.0,14031.0,13778.0,14524.0,14436.0,14387.0,15399.0,16210.0,16665.0,17326.0,17756.0,17904.0,18134.0,19236.0,19511.0,0,0,0
Limerick,Carlow,56.0,48.0,44.0,40.0,40.0,52.0,60.0,68.0,78.0,70.0,69.0,62.0,73.0,83.0,100.0,111.0,105.0,107.0,0,0,0
Limerick,Dublin,283.0,235.0,212.0,222.0,201.0,196.0,239.0,226.0,231.0,254.0,281.0,298.0,319.0,316.0,309.0,310.0,357.0,334.0,0,0,0
Limerick,Kildare,140.0,134.0,118.0,115.0,128.0,135.0,146.0,165.0,170.0,179.0,196.0,211.0,213.0,234.0,230.0,241.0,255.0,256.0,0,0,0
Limerick,Kilkenny,262.0,285.0,272.0,275.0,301.0,293.0,323.0,332.0,312.0,330.0,354.0,352.0,368.0,363.0,368.0,381.0,400.0,428.0,0,0,0
Limerick,Laois,164.0,168.0,148.0,153.0,173.0,169.0,158.0,189.0,194.0,238.0,271.0,255.0,311.0,285.0,305.0,330.0,392.0,459.0,0,0,0
Limerick,Longford,51.0,63.0,56.0,53.0,48.0,47.0,45.0,49.0,57.0,59.0,57.0,61.0,50.0,45.0,54.0,48.0,54.0,62.0,0,0,0
Limerick,Louth,51.0,57.0,45.0,44.0,39.0,28.0,50.0,52.0,40.0,39.0,29.0,29.0,32.0,42.0,50.0,57.0,55.0,54.0,0,0,0
Limerick,Meath,124.0,108.0,92.0,77.0,81.0,90.0,83.0,89.0,76.0,81.0,94.0,99.0,124.0,109.0,102.0,108.0,112.0,108.0,0,0,0
Limerick,Offaly,195.0,203.0,206.0,218.0,216.0,205.0,229.0,259.0,265.0,291.0,297.0,290.0,297.0,280.0,284.0,295.0,343.0,388.0,0,0,0
Limerick,Westmeath,187.0,191.0,172.0,163.0,158.0,130.0,126.0,126.0,127.0,150.0,147.0,143.0,164.0,156.0,144.0,147.0,159.0,170.0,0,0,0
Limerick,Wexford,205.0,201.0,199.0,186.0,189.0,174.0,194.0,222.0,212.0,216.0,224.0,223.0,242.0,247.0,263.0,258.0,286.0,298.0,0,0,0
Limerick,Wicklow,50.0,49.0,57.0,46.0,49.0,55.0,50.0,58.0,60.0,70.0,82.0,79.0,85.0,93.0,89.0,101.0,106.0,117.0,0,0,0
Limerick,Clare,1456.0,1571.0,1648.0,1808.0,1939.0,1912.0,2061.0,1940.0,1895.0,2068.0,2258.0,2325.0,2374.0,2427.0,2440.0,2475.0,2596.0,2579.0,0,0,0
Limerick,Cork,1508.0,1560.0,1653.0,1742.0,1796.0,1796.0,1824.0,1758.0,1786.0,1864.0,1851.0,1826.0,1868.0,1966.0,1949.0,1911.0,2014.0,2014.0,0,0,0
Limerick,Kerry,1022.0,1058.0,1138.0,1127.0,1200.0,1149.0,1222.0,1196.0,1157.0,1175.0,1180.0,1207.0,1144.0,1156.0,1169.0,1214.0,1331.0,1371.0,0,0,0
Limerick,Limerick,3261.0,3486.0,3603.0,3784.0,4016.0,4023.0,4126.0,4007.0,4034.0,4190.0,4496.0,4774.0,4739.0,4985.0,5079.0,5132.0,5391.0,5276.0,0,0,0
Limerick,Tipperary,1234.0,1361.0,1358.0,1349.0,1387.0,1371.0,1468.0,1511.0,1498.0,1597.0,1761.0,1826.0,2180.0,2200.0,2165.0,2205.0,2239.0,2305.0,0,0,0
Limerick,Waterford,225.0,263.0,263.0,292.0,335.0,316.0,342.0,347.0,354.0,410.0,418.0,452.0,482.0,476.0,441.0,409.0,466.0,486.0,0,0,0
Limerick,Galway,953.0,1000.0,983.0,896.0,888.0,862.0,969.0,1020.0,1016.0,1162.0,1163.0,1116.0,1176.0,1119.0,1114.0,1116.0,1188.0,1232.0,0,0,0
Limerick,Leitrim,90.0,72.0,58.0,47.0,40.0,50.0,63.0,63.0,64.0,67.0,66.0,73.0,77.0,68.0,80.0,80.0,69.0,72.0,0,0,0
Limerick,Mayo,458.0,463.0,437.0,403.0,396.0,363.0,377.0,375.0,364.0,446.0,479.0,518.0,524.0,575.0,590.0,587.0,665.0,690.0,0,0,0
Limerick,Roscommon,172.0,189.0,179.0,168.0,154.0,128.0,130.0,144.0,155.0,178.0,172.0,170.0,175.0,189.0,216.0,202.0,202.0,240.0,0,0,0
Limerick,Sligo,100.0,121.0,115.0,99.0,90.0,90.0,84.0,81.0,85.0,93.0,107.0,114.0,112.0,116.0,115.0,124.0,145.0,153.0,0,0,0
Limerick,Cavan,48.0,52.0,39.0,32.0,35.0,29.0,36.0,28.0,39.0,35.0,33.0,31.0,38.0,43.0,49.0,64.0,66.0,73.0,0,0,0
Limerick,Donegal,130.0,118.0,108.0,90.0,94.0,73.0,78.0,83.0,87.0,96.0,92.0,99.0,123.0,138.0,149.0,148.0,151.0,151.0,0,0,0
Limerick,Monaghan,40.0,38.0,32.0,28.0,26.0,31.0,37.0,42.0,26.0,23.0,18.0,22.0,26.0,33.0,37.0,56.0,59.0,63.0,0,0,0
Limerick,Antrim,5.0,3.0,3.0,3.0,4.0,4.0,1.0,0.0,0.0,7.0,5.0,2.0,3.0,5.0,6.0,11.0,15.0,11.0,0,0,0
Limerick,Armagh,1.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,0,0,0
Limerick,Derry,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0,0,0
Limerick,Down,2.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,6.0,4.0,3.0,2.0,3.0,2.0,3.0,6.0,4.0,0,0,0
Limerick,Fermanagh,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0,0,0
Limerick,Tyrone,2.0,2.0,1.0,4.0,3.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,5.0,5.0,4.0,0,0,0
Limerick,Origin unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tipperary,All counties (2),162.0,184.0,269.0,325.0,364.0,373.0,373.0,334.0,284.0,328.0,479.0,668.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tipperary,Carlow,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tipperary,Dublin,2.0,5.0,4.0,13.0,26.0,1.0,3.0,4.0,6.0,5.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tipperary,Kildare,0.0,0.0,4.0,4.0,3.0,6.0,7.0,5.0,3.0,5.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tipperary,Kilkenny,7.0,7.0,9.0,18.0,19.0,13.0,22.0,17.0,17.0,14.0,17.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tipperary,Laois,1.0,2.0,5.0,10.0,14.0,14.0,15.0,17.0,12.0,15.0,24.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
